Scrip Code,COMPANY,ISIN No.,Close Price
531344,Container Corp Of India,INE111A01025,891.5
506395,Coromandel International Ltd,INE169A01031,1180.7
543276,Craftsman Automation Ltd,INE00LO01017,4967.9
541770,CreditAccess Grameen Ltd,INE741K01010,1702.85
500092,CRISIL Ltd,INE007A01025,4092.4
539876,Crompton Greaves Consumer Electricals Ltd,INE299U01018,324.7
542867,CSB Bank Ltd,INE679A01013,396.9
500480,Cummins India Ltd,INE298A01020,2047.95
532175,Cyient Ltd,INE136B01020,2274.65
500096,Dabur India Ltd,INE016A01026,549.55
542216,Dalmia Bharat Ltd,INE00R701025,2304.35
543428,Data Patterns (India) Ltd,INE0IX101010,1982
523367,DCM Shriram Ltd,INE499A01024,1035.25
500645,Deepak Fertilisers & Petrochemicals Corp. Ltd.,INE501A01019,655.4
506401,Deepak Nitrite Limited,INE288B01029,2432.9
543529,Delhivery Limited,INE148O01028,409.9
532848,Delta Corp. Ltd.,INE124G01033,152.2
543330,Devyani International Ltd,INE872J01023,185.75
532488,Divi's Laboratories Ltd,INE361B01024,3882.85
540699,Dixon Technologies (India) Ltd,INE935N01020,6552.95
532868,DLF Ltd,INE271C01023,801.2
500124,Dr Reddy's Laboratories Ltd,INE089A01023,5689.95
539524,Dr. Lal PathLabs Ltd,INE600L01024,2453.7
543272,Easy Trip Planners Ltd,INE07O001026,49.62
532927,eClerx Services Ltd,INE738I01010,2710.25
505200,Eicher Motors Ltd,INE066A01021,3871.65
500125,EID Parry India Ltd,INE126A01031,586.1
500840,EIH Ltd,INE230A01023,280.75
522074,Elgi Equipments Ltd.,INE285A01027,535.7
531162,Emami Ltd,INE548C01032,524.55
540153,Endurance Technologies Ltd,INE913H01037,1992.55
532178,Engineers India Ltd,INE510A01028,213.95
500135,EPL Ltd,INE255A01020,196.9
543243,Equitas Small Finance Bank Ltd,INE063P01018,113.7
540596,Eris Lifesciences Ltd,INE406M01024,917.5
500133,Esab India Ltd,INE284A01012,5695.25
500495,Escorts Ltd,INE042A01014,2876.35
543482,Eureka Forbes Limited,INE0KCE01017,491.1
500086,Exide Industries Ltd,INE302A01020,337.7
531599,FDC Ltd,INE258B01022,424.35
