SYMBOL,UNDERLYING ASSET,OPEN,HIGH,LOW,PREV.CLOSE,LTP,CHNG,%CHNG,VOLUME,VALUE,NAV,52W H,52W L,30D %CHNG,365 D,365 D %CHNG,30 D
NV20IETF,Nifty50 Value 20,133.10,133.10,130.00,129.70,130.96,1.26,0.97,13,783,0.18,129.56,135.65,123.20,-,-,-,-
MIDCAPETF,Mirae Asset Mutual Fund - Mirae Asset Nifty Midcap 150 ETF,18.10,18.10,17.51,17.56,17.73,0.17,0.97,94,340,0.17,17.56,18.10,10.75,3.35,-,-,19-Dec-2023
JUNIORBEES,Nifty Next 50,578.70,580.00,573.57,573.57,579.01,5.44,0.95,27,317,1.58,572.74,599.95,384.60,3.03,18-Jan-2023,28.75,19-Dec-2023
ABSLNN50ET,Nifty Next 50,57.00,57.00,55.90,55.70,56.23,0.53,0.95,2,938,0.02,55.61,57.00,37.52,3.21,18-Jan-2023,29.14,19-Dec-2023
KOTAKMID50,Nifty Midcap 50 Index,135.65,135.79,134.93,134.19,135.47,1.28,0.95,6,618,0.09,134.38,137.68,82.70,2.2,18-Jan-2023,52.54,19-Dec-2023
PSUBNKBEES,Nifty PSU Bank,65.00,66.14,65.00,65.14,65.76,0.62,0.95,27,79,884,18.32,65.19,66.60,39.10,1.77,18-Jan-2023,39.37,19-Dec-2023
NEXT50,Nifty Next 50,549.10,551.99,548.79,544.83,549.91,5.08,0.93,1,073,0.06,545.89,557.70,372.00,2.89,-,-,19-Dec-2023
BSE500IETF,S&P BSE 500 index,32.93,32.93,32.59,32.58,32.88,0.30,0.92,65,877,0.22,32.52,33.69,23.71,-,-,-,-
HDFCNIFIT,HDFC NIFTY IT ETF,378.50,380.97,375.30,373.26,376.63,3.37,0.90,630,0.02,372.82,385.97,262.75,3.88,18-Jan-2023,27.11,19-Dec-2023
SETFNN50,Nifty Next 50,571.79,573.81,569.18,567.83,572.93,5.10,0.90,2,559,0.15,566.93,579.80,385.13,2.98,18-Jan-2023,28.50,19-Dec-2023
TECH,Nifty IT TRI Index,38.00,38.63,38.00,37.89,38.23,0.34,0.90,14,448,0.06,37.96,40.40,26.63,3.55,18-Jan-2023,25.55,19-Dec-2023
INFRAIETF,ICICI Prudential Nifty Infrastructure ETF,78.48,78.48,76.51,77.13,77.82,0.69,0.89,23,528,0.18,76.97,81.00,50.40,-,-,-,-
